Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	M	=	Time	Medal
64	Baku EU 1 (Aslanli, Najafzade, Mammadov)	+ (208:52)	.	.	.	+1 (29:56)	+ (112:27)	+ (54:48)	.	.	.	.	+ (40:24)	-3	5	463	
65	Belarusian SUIR 4 (Yushkevich, Katskel, Novikov)	-9	.	.	.	+ (86:58)	+ (66:09)	+ (50:56)	.	.	.	.	+ (12:17)	+ (273:14)	5	487	
66	Irkutsk SU 2 (Latyshev, Antonov, Chumachenko)	+ (256:51)	.	.	.	+ (92:39)	+ (112:36)	+ (37:51)	.	.	.	.	+ (23:37)	-1	5	520	
67	Innopolis U 1 (Ismaeel, Yunes, Novarlich)	+2 (168:07)	.	.	.	+ (96:04)	+ (143:41)	+2 (40:55)	.	.	.	.	+ (11:12)	-7	5	538	
68	Moscow IPT 3 (Kulagin, Kalmykov, Zolotarev)	+1 (279:24)	.	.	.	+ (58:10)	+ (75:56)	+ (94:06)	.	.	-1	.	+ (21:27)	-2	5	547	
69	Kazakh-British TU 4 (Kussainov, Zhumashev, Aimagambetov)	+ (117:59)	.	.	.	+1 (129:29)	+2 (172:08)	+ (42:37)	.	.	.	.	+ (29:20)	-2	5	549	
70	Ural FU 7 (Khanova, Trifochkin, Shibaev)	-6	.	.	.	+2 (67:02)	+ (86:36)	+ (64:48)	.	.	.	.	+ (23:46)	+2 (254:59)	5	574	
71	Penza SU (Erkulov, Dunaev, Serov)	+2 (231:15)	.	.	.	+ (44:47)	+ (158:38)	+1 (70:23)	.	.	.	.	+ (27:26)	.	5	590	
72	Voronezh SU (Zolotukhin, Tishin, Nogikh)	+2 (282:36)	.	.	.	+ (59:47)	+ (130:10)	+ (78:37)	.	.	.	.	+ (21:29)	.	5	610	
73	Yaroslavl SU 1 (Gibadulin, Povarov, Medvedev)	+ (159:10)	.	.	.	+ (80:00)	+2 (226:35)	+1 (55:27)	.	.	.	.	+1 (21:16)	.	5	621	
