Rank	Team	A	B	C	D	E	F	G	H	I	J	K	L	=	Time
206	SEUA 2 (Manukyan, Siradeghyan, Hovsepyan)	-15	.	.	.	+ (145:47)	.	.	.	.	.	.	-2	1	145
207	Eurasian NU (Amandos, Sultan, Yessenbayev)	-8	-1	.	.	+ (149:03)	.	.	.	.	.	.	.	1	149
208	Kemerovo SU 2 (Zemlyanukhin, Bashkirova, Chernousov)	-6	.	.	.	+ (189:58)	.	.	.	.	.	.	.	1	189
209	Jizzakh S Ped I 1 (Dustqulov, Nurmurodova, Shayzoqov)	-6	.	.	.	+3 (153:50)	.	.	.	.	.	.	.	1	213
210	Tbilisi SANGU 2 (Meladze, Chubinidze, Kavtaradze)	-3	.	.	.	+1 (202:39)	.	.	.	.	.	.	.	1	222
211	Baku State University 6 (Talibov, Mammadov, Badalov)	-15	.	.	.	+3 (170:00)	.	.	.	.	.	.	.	1	230
212	ADA University 10 (Huseynzade, Farzaliyev, Sadigov)	-1	.	.	.	+3 (241:00)	.	.	.	.	.	.	.	1	301
213	Zabaikalsk SU (Yutkanakov, Perfiliev, Kashtankin)	-12	.	.	.	.	.	.	.	.	.	.	.	0	0
213	Novosibirsk S Ped U 4 (Aisen, Orlov, Savitskaya)	-3	.	.	.	.	.	.	.	.	.	.	.	0	0
213	Far Eastern FU 3 (Kirpa, Utin, Makhliarchuk)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
213	Tbilisi IBSU 2 (Mamaiashvili, Morchiladze, Merabov)	-10	.	.	.	.	.	.	.	.	.	.	.	0	0
213	Khazar University 1 (Aziz, Atakishiyev, Mammadov)	-4	.	.	.	.	.	.	.	.	.	.	.	0	0
213	Tbilisi IBSU 4 (Tsitsagi, Bagdavadze, Tchokhonelidze)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
213	Baku Higher Oil School 1 (Huseynli, Bakhshili, Alikhanov)	-3	-1	.	.	-1	.	.	.	.	.	.	.	0	0
213	Batumi SU 1 (Meskhidze, Gorgodze, Pasieshvili)	.	.	.	.	.	.	.	.	.	.	.	.	0	0
213	Azerbaijan University 2 (Kerimli, Mammadova, Usubov)	-1	-1	.	.	-5	.	.	.	.	.	.	.	0	0
213	Georgian TU 1 (Khutsishvili, Varamashvili, Sirbiladze)	-5	.	.	.	-5	.	.	.	.	.	.	.	0	0
213	Tbilisi UG 1 (Bakhtadze, Zakashvili, Janjgava)	-4	.	.	.	.	.	.	.	.	.	.	.	0	0
213	Karakalpak SU 1 (Abiev, Esimbetov, Karabekov)	-5	.	.	.	.	.	.	.	.	.	.	.	0	0
	Total runs	540	84	29	69	289	608	541	15	2	594	259	219
	Accepted	199	12	14	11	212	105	154	3	0	54	26	59
	Rejected	341	72	15	58	77	503	387	12	2	540	233	160
	First Accept	7:10	73:10	124:34	145:58	8:04	41:54	29:22	175:17		33:48	102:13	53:06
	Last Accept	247:39	291:36	290:36	299:21	241:00	299:48	299:07	291:57		296:36	298:56	298:38
